category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
other	m_array_new_block	141.893	146.735	142.248	142.562	+0.3
other	m_catch	143.244	144.849	142.918	145.035	-0.2
other	m_class_exec	76.872	77.537	75.409	78.564	-1.9
other	m_class_new_block	51.046	51.253	50.832	52.175	-0.4
other	m_hash_default_proc	67.075	67.558	67.190	68.213	+0.2
other	m_hash_hit	134.936	135.727	134.137	137.853	-0.6
other	m_hash_miss	164.353	167.190	167.162	170.966	+1.7
other	m_index_arg	276.411	278.856	279.574	279.983	+1.1
other	m_index_block	244.252	245.875	244.210	245.242	-0.0
other	m_instance_eval	89.448	90.607	88.921	89.692	-0.6
other	m_instance_exec	93.525	95.581	92.133	93.560	-1.5
other	m_method_call	84.028	85.585	83.806	85.055	-0.3
other	m_method_loop	83.704	84.258	81.890	85.752	-2.2
other	m_new_plain	147.083	147.634	141.296	149.279	-3.9
other	m_new_ruby_init	193.922	197.303	193.440	196.465	-0.2
other	m_plain_loop	87.260	91.086	90.265	92.668	+3.4
other	m_public_send	67.269	68.354	67.024	67.479	-0.4
other	m_send	115.907	117.513	116.736	117.605	+0.7
other	m_sort_block	263.384	265.192	260.798	262.719	-1.0
other	m_sort_plain	230.421	234.130	232.007	234.437	+0.7
other	m_yield_loop	160.516	161.310	160.021	161.219	-0.3
