category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
other	m_array_new_block	132.978	134.111	331.408	338.530	+149.2
other	m_catch	134.612	135.458	156.206	159.581	+16.0
other	m_class_exec	76.852	76.945	71.775	72.480	-6.6
other	m_class_new_block	51.236	51.627	55.729	56.175	+8.8
other	m_hash_default_proc	66.736	68.609	86.055	87.650	+28.9
other	m_hash_hit	132.559	132.815	124.525	125.295	-6.1
other	m_hash_miss	164.562	177.199	188.742	191.257	+14.7
other	m_index_arg	295.784	298.909	301.226	302.011	+1.8
other	m_index_block	240.056	240.874	624.654	661.657	+160.2
other	m_instance_eval	87.160	87.766	87.812	88.167	+0.7
other	m_instance_exec	93.062	94.373	89.838	91.163	-3.5
other	m_method_call	83.550	84.411	83.111	83.563	-0.5
other	m_method_loop	81.012	83.686	82.073	85.567	+1.3
other	m_new_plain	138.912	142.410	136.217	138.302	-1.9
other	m_new_ruby_init	192.684	197.147	209.984	216.352	+9.0
other	m_plain_loop	92.305	93.624	94.141	94.381	+2.0
other	m_public_send	68.224	69.432	67.877	69.752	-0.5
other	m_send	118.559	120.126	119.820	121.410	+1.1
other	m_sort_block	256.139	267.319	787.243	821.910	+207.3
other	m_sort_plain	233.640	242.218	213.083	216.695	-8.8
other	m_yield_loop	156.978	160.077	168.582	170.994	+7.4
