category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
other	m_array_new_block	148.071	149.034	148.150	150.451	+0.1
other	m_catch	160.294	169.150	149.683	152.801	-6.6
other	m_class_exec	79.252	83.205	84.080	87.234	+6.1
other	m_class_new_block	54.828	56.474	56.252	59.112	+2.6
other	m_hash_default_proc	61.005	61.978	71.696	75.172	+17.5
other	m_hash_hit	137.704	141.153	146.134	147.758	+6.1
other	m_hash_miss	194.164	197.707	182.671	183.781	-5.9
other	m_index_arg	300.633	310.792	296.958	306.883	-1.2
other	m_index_block	234.567	238.981	273.455	279.462	+16.6
other	m_instance_eval	84.231	84.989	90.509	93.053	+7.5
other	m_instance_exec	98.572	117.969	102.233	121.332	+3.7
other	m_method_call	83.943	93.259	89.263	89.990	+6.3
other	m_method_loop	85.261	87.535	82.914	88.160	-2.8
other	m_new_plain	155.983	164.182	149.323	157.896	-4.3
other	m_new_ruby_init	206.154	221.853	217.556	239.074	+5.5
other	m_plain_loop	94.287	99.613	94.729	97.068	+0.5
other	m_public_send	66.009	66.363	72.125	72.328	+9.3
other	m_send	126.348	129.074	122.707	129.947	-2.9
other	m_sort_block	312.765	313.569	275.399	279.989	-11.9
other	m_sort_plain	241.231	242.830	244.014	249.890	+1.2
other	m_yield_loop	167.351	170.159	163.199	169.214	-2.5
