category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
other	m_array_new_block	150.534	163.572	155.594	168.094	+3.4
other	m_catch	151.176	156.440	162.885	165.069	+7.7
other	m_class_exec	82.697	85.115	79.977	82.333	-3.3
other	m_class_new_block	55.988	59.708	55.403	59.106	-1.0
other	m_hash_default_proc	74.006	75.195	60.264	63.042	-18.6
other	m_hash_hit	145.786	148.753	135.491	138.679	-7.1
other	m_hash_miss	178.369	187.962	194.055	202.578	+8.8
other	m_index_arg	298.879	304.316	299.963	307.914	+0.4
other	m_index_block	263.072	270.634	234.255	254.687	-11.0
other	m_instance_eval	90.228	91.137	82.348	85.244	-8.7
other	m_instance_exec	94.195	97.397	87.144	89.305	-7.5
other	m_method_call	85.455	88.431	79.828	81.410	-6.6
other	m_method_loop	84.019	86.051	87.304	88.260	+3.9
other	m_new_plain	150.475	153.355	154.567	159.335	+2.7
other	m_new_ruby_init	213.858	219.839	202.203	203.540	-5.4
other	m_plain_loop	93.541	97.460	96.885	97.368	+3.6
other	m_public_send	70.881	71.780	67.913	68.997	-4.2
other	m_send	125.316	126.979	130.749	131.152	+4.3
other	m_sort_block	277.921	281.979	317.160	318.459	+14.1
other	m_sort_plain	248.753	252.477	228.470	228.798	-8.2
other	m_yield_loop	165.551	167.543	168.314	171.514	+1.7
