category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
other	m_array_new_block	140.954	143.463	143.397	147.409	+1.7
other	m_catch	147.595	150.068	148.485	149.399	+0.6
other	m_class_exec	78.758	81.675	84.812	87.031	+7.7
other	m_class_new_block	55.029	55.963	58.286	58.737	+5.9
other	m_hash_default_proc	54.797	55.742	73.695	75.092	+34.5
other	m_hash_hit	137.715	141.070	143.862	148.262	+4.5
other	m_hash_miss	140.824	143.573	178.507	183.716	+26.8
other	m_index_arg	305.158	308.733	298.950	304.747	-2.0
other	m_index_block	232.481	236.121	262.448	263.666	+12.9
other	m_instance_eval	83.608	85.095	89.281	90.357	+6.8
other	m_instance_exec	85.758	87.062	94.690	95.324	+10.4
other	m_method_call	81.345	81.946	84.510	85.595	+3.9
other	m_method_loop	84.744	87.915	81.839	85.631	-3.4
other	m_new_plain	136.204	142.409	151.893	152.153	+11.5
other	m_new_ruby_init	198.742	199.139	208.861	214.090	+5.1
other	m_plain_loop	94.559	96.550	92.957	94.231	-1.7
other	m_public_send	66.048	67.620	70.122	74.963	+6.2
other	m_send	122.789	125.587	122.514	124.013	-0.2
other	m_sort_block	298.084	300.456	274.340	278.258	-8.0
other	m_sort_plain	253.545	260.437	245.182	251.556	-3.3
other	m_yield_loop	166.734	168.822	162.816	169.410	-2.3
