category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
other	m_array_new_block	144.253	146.509	142.616	142.745	-1.1
other	m_catch	145.956	148.046	145.189	147.316	-0.5
other	m_class_exec	82.428	84.911	76.216	77.783	-7.5
other	m_class_new_block	54.815	55.287	53.630	54.698	-2.2
other	m_hash_default_proc	74.998	75.676	55.721	58.831	-25.7
other	m_hash_hit	141.146	145.502	135.209	139.067	-4.2
other	m_hash_miss	174.862	180.709	138.392	140.566	-20.9
other	m_index_arg	297.531	303.371	297.234	301.771	-0.1
other	m_index_block	261.830	263.724	227.304	231.908	-13.2
other	m_instance_eval	88.460	89.120	81.664	83.765	-7.7
other	m_instance_exec	92.701	95.683	84.685	85.588	-8.6
other	m_method_call	83.976	85.476	80.906	81.531	-3.7
other	m_method_loop	83.876	84.616	84.226	85.564	+0.4
other	m_new_plain	149.426	151.576	138.703	139.542	-7.2
other	m_new_ruby_init	213.981	216.149	198.521	200.701	-7.2
other	m_plain_loop	95.204	96.571	93.608	97.608	-1.7
other	m_public_send	70.033	73.316	65.606	66.575	-6.3
other	m_send	123.575	123.920	125.235	126.318	+1.3
other	m_sort_block	272.629	273.863	294.657	298.332	+8.1
other	m_sort_plain	242.366	246.355	250.387	255.099	+3.3
other	m_yield_loop	161.558	162.316	163.849	166.333	+1.4
