category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
other	m_array_new_block	142.260	147.546	138.358	141.167	-2.7
other	m_catch	145.503	148.794	148.901	149.323	+2.3
other	m_class_exec	83.438	84.022	77.682	79.436	-6.9
other	m_class_new_block	56.607	56.676	53.755	58.117	-5.0
other	m_hash_default_proc	72.187	73.466	53.062	55.017	-26.5
other	m_hash_hit	143.798	144.450	137.586	139.098	-4.3
other	m_hash_miss	175.369	177.980	136.922	138.834	-21.9
other	m_index_arg	294.960	299.150	298.915	299.473	+1.3
other	m_index_block	259.005	263.063	224.890	230.440	-13.2
other	m_instance_eval	88.657	90.060	80.413	81.846	-9.3
other	m_instance_exec	93.252	93.631	85.308	86.246	-8.5
other	m_method_call	85.448	85.965	78.577	81.017	-8.0
other	m_method_loop	80.981	84.135	83.784	86.011	+3.5
other	m_new_plain	147.876	152.273	137.128	138.991	-7.3
other	m_new_ruby_init	210.821	214.043	201.261	202.385	-4.5
other	m_plain_loop	95.970	98.906	95.184	95.794	-0.8
other	m_public_send	70.140	71.007	66.976	67.415	-4.5
other	m_send	122.594	124.030	126.882	129.755	+3.5
other	m_sort_block	275.466	277.419	301.279	301.738	+9.4
other	m_sort_plain	241.746	248.331	238.566	239.488	-1.3
other	m_yield_loop	162.177	165.169	164.157	167.545	+1.2
