category	benchmark	a_ms_best	a_ms_median	b_ms_best	b_ms_median	change_pct
other	m_array_new_block	137.240	137.523	142.924	143.260	+4.1
other	m_catch	147.957	152.972	144.839	145.445	-2.1
other	m_class_exec	77.887	79.050	82.092	83.112	+5.4
other	m_class_new_block	53.936	55.332	54.418	56.011	+0.9
other	m_hash_default_proc	53.471	54.213	71.336	72.577	+33.4
other	m_hash_hit	136.116	137.234	142.431	146.923	+4.6
other	m_hash_miss	136.624	142.376	175.248	175.766	+28.3
other	m_index_arg	296.924	301.628	292.953	302.292	-1.3
other	m_index_block	227.752	231.645	260.483	262.808	+14.4
other	m_instance_eval	82.843	83.255	89.589	90.492	+8.1
other	m_instance_exec	86.563	87.450	94.808	95.132	+9.5
other	m_method_call	80.044	85.925	86.880	90.046	+8.5
other	m_method_loop	83.401	83.945	82.444	86.763	-1.1
other	m_new_plain	134.117	142.560	147.577	157.526	+10.0
other	m_new_ruby_init	205.725	213.712	215.372	223.432	+4.7
other	m_plain_loop	95.547	101.456	98.150	99.783	+2.7
other	m_public_send	65.857	67.295	70.370	72.087	+6.9
other	m_send	127.967	142.724	123.213	124.855	-3.7
other	m_sort_block	302.974	311.072	275.795	290.068	-9.0
other	m_sort_plain	241.722	251.396	247.722	255.673	+2.5
other	m_yield_loop	169.908	174.245	161.846	165.536	-4.7
